"","X","Zip.Code","Population","Cases","Deaths","Cases.Per.10000.Residents","totalanimalunits","deathsovercases","MortalityRate"
"476",494,27874,3766,27,0,57,7074.66,0,0
"477",495,27805,3761,31,0,82,2045.92,0,0
"478",496,28741,3748,68,0,217,0,0,0
"479",497,28453,3737,249,6,602,109998.92,0.0240963855421687,0.160556596200161
"480",498,27541,3718,15,0,37,1885.25,0,0
"481",499,27311,3697,10,0,31,0,0,0
"482",500,28594,3697,19,0,52,0,0,0
"483",501,28585,3674,28,2,67,35343.45,0.0714285714285714,0.0544365813826892
"484",502,27233,3643,12,0,33,420,0,0
"485",503,28098,3629,32,1,80,0,0.03125,0.0275558004960044
"486",504,28670,3590,18,1,57,252,0.0555555555555556,0.0278551532033426
"487",505,28160,3586,65,2,162,0,0.0307692307692308,0.0557724484104852
"488",506,28033,3555,26,1,77,2800,0.0384615384615385,0.0281293952180028
"489",507,28643,3521,11,0,32,0,0,0
"490",508,27839,3503,16,0,43,62.4,0,0
"491",509,27924,3448,32,0,91,0,0,0
"492",510,28605,3428,12,0,29,0,0,0
"493",511,28751,3387,20,0,54,0,0,0
"494",512,28790,3308,22,0,58,0,0,0
"495",513,28032,3296,40,0,123,0,0,0
"496",514,28729,3271,9,0,30,0,0,0
"497",515,28533,3248,0,0,0,0,NA,0
"498",516,28137,3248,37,0,96,0,0,0
"499",517,27880,3242,48,0,146,661.2,0,0
"500",518,28512,3236,8,1,22,0,0.125,0.030902348578492
"501",519,27846,3228,16,0,52,0,0,0
"502",520,28701,3224,9,0,19,0,0,0
"503",521,27229,3220,111,0,277,0,0,0
"504",522,28726,3219,72,1,207,0,0.0138888888888889,0.0310655483069276
"505",523,27831,3199,47,0,131,19714.4,0,0
"506",524,27283,3182,23,0,77,315,0,0
"507",525,28635,3162,17,0,42,0,0,0
"508",526,27207,3149,54,1,142,280,0.0185185185185185,0.0317561130517625
"509",527,27024,3148,13,0,48,0,0,0
"510",528,27852,3134,30,0,87,2720,0,0
"511",529,28654,3100,35,0,92,0,0,0
"512",530,27281,3079,31,0,84,213.12,0,0
"513",531,28773,3056,30,4,86,0,0.133333333333333,0.130890052356021
"514",532,28526,3018,8,0,34,11273,0,0
"515",533,27832,3001,45,0,155,0,0,0
"516",534,28905,2995,18,0,51,0,0,0
"517",535,27053,2973,13,0,41,0,0,0
"518",536,27883,2970,43,1,99,8056.67,0.0232558139534884,0.0336700336700337
"519",537,27844,2955,48,0,158,0,0,0
"520",538,28525,2919,25,0,76,17649.03,0,0
"521",540,27959,2908,10,1,41,0,0.1,0.0343878954607978
"522",541,28159,2908,44,0,141,0,0,0
"523",542,28521,2877,35,1,155,21348.96,0.0285714285714286,0.0347584289190129
"524",543,27845,2876,9,0,32,1615.97,0,0
"525",544,27326,2872,24,1,65,0,0.0416666666666667,0.0348189415041783
"526",545,28369,2865,29,1,129,7000,0.0344827586206897,0.0349040139616056
"527",546,28349,2840,155,12,392,67270.55,0.0774193548387097,0.422535211267606
"528",547,27970,2820,40,3,124,23633.57,0.075,0.106382978723404
"529",548,27890,2778,38,1,158,0,0.0263157894736842,0.0359971202303816
"530",549,28571,2769,9,0,29,0,0,0
"531",550,27812,2762,29,0,98,5056.5,0,0
"532",551,28763,2758,23,0,80,0,0,0
"533",552,27356,2746,56,1,159,0,0.0178571428571429,0.0364166059723234
"534",553,28088,2746,35,0,114,0,0,0
"535",554,28582,2734,4,0,22,0,0,0
"536",555,28464,2707,70,1,281,6181.2,0.0142857142857143,0.036941263391208
"537",556,28508,2699,102,1,342,37744.56,0.00980392156862745,0.0370507595405706
"538",558,28357,2682,34,0,105,0,0,0
"539",559,27806,2664,7,0,29,0,0,0
"540",560,28669,2663,19,0,61,370,0,0
"541",561,28742,2660,6,0,21,0,0,0
"542",562,28071,2649,31,0,97,0,0,0
